date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:20:37	112/112	---MC-	200	added ('OK')	text/plain	date:Wed,%2023%20Dec%202020%2013:20:39%20GMT	https://raise-tech.net/robots.txt		(from )
22:20:38	86510/86510	---MC-	200	added ('OK')	text/html	date:Wed,%2023%20Dec%202020%2013:20:39%20GMT	https://raise-tech.net/	D:/RaiseTech/Practice/RaiseTech_copy/%e6%ad%a3%e8%a7%a3/RaiseTech%e3%82%b3%e3%83%94%e3%83%bc/raise-tech.net/index.html	(from )
22:20:38	34494/34494	---M--	200	added ('OK')	image/x-icon	etag:%225c87690a-86be%22	https://raise-tech.net/wp-content/themes/raisetech2019/common/img/favicon.ico	D:/RaiseTech/Practice/RaiseTech_copy/%e6%ad%a3%e8%a7%a3/RaiseTech%e3%82%b3%e3%83%94%e3%83%bc/raise-tech.net/wp-content/themes/raisetech2019/common/img/favicon.ico	(from https://raise-tech.net/)
22:20:38	12481/12481	---M--	200	added ('OK')	text/javascript	date:Thu,%2003%20Oct%202019%2002:54:35%20GMT	https://r.moshimo.com/af/r/maftag.js	D:/RaiseTech/Practice/RaiseTech_copy/%e6%ad%a3%e8%a7%a3/RaiseTech%e3%82%b3%e3%83%94%e3%83%bc/r.moshimo.com/af/r/maftag.js	(from https://raise-tech.net/)
22:20:40	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Dec%202020%2013:20:40%20GMT	http://raise-tech.net/wp-content/uploads/sass/a3_lazy_load.min.css?ver=1604302648	D:/RaiseTech/Practice/RaiseTech_copy/%e6%ad%a3%e8%a7%a3/RaiseTech%e3%82%b3%e3%83%94%e3%83%bc/raise-tech.net/wp-content/uploads/sass/a3_lazy_load.min.3a461.delayed	(from https://raise-tech.net/)
22:20:40	799/799	---MC-	200	added ('OK')	application/rss+xml	etag:%227ccf227e324c649b6647ca3bc21ce0ea%22	https://raise-tech.net/sample-page/feed	D:/RaiseTech/Practice/RaiseTech_copy/%e6%ad%a3%e8%a7%a3/RaiseTech%e3%82%b3%e3%83%94%e3%83%bc/raise-tech.net/sample-page/feed	(from https://raise-tech.net/)
22:20:40	127/127	---M--	200	added ('OK')	text/css	etag:%225f9fb738-7f%22	https://raise-tech.net/wp-content/uploads/sass/a3_lazy_load.min.css?ver=1604302648	D:/RaiseTech/Practice/RaiseTech_copy/%e6%ad%a3%e8%a7%a3/RaiseTech%e3%82%b3%e3%83%94%e3%83%bc/raise-tech.net/wp-content/uploads/sass/a3_lazy_load.mina461.css	(from https://raise-tech.net/)
22:20:40	0/-1	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fd058b9-e90%22	https://raise-tech.net/wp-content/cache/autoptimize/js/autoptimize_single_2679804994c2adf8fa0126a0f1c4792d.js?ver=5.3.6	D:/RaiseTech/Practice/RaiseTech_copy/%e6%ad%a3%e8%a7%a3/RaiseTech%e3%82%b3%e3%83%94%e3%83%bc/raise-tech.net/wp-content/cache/autoptimize/js/autoptimize_single_2679804994c2adf8fa0126a0f1c4792d48f5.js	(from https://raise-tech.net/)
22:20:41	0/-1	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c946968-59e%22	https://raise-tech.net/wp-content/themes/raisetech2019/common/js/jquery.inview.min.js?ver=5.3.6	D:/RaiseTech/Practice/RaiseTech_copy/%e6%ad%a3%e8%a7%a3/RaiseTech%e3%82%b3%e3%83%94%e3%83%bc/raise-tech.net/wp-content/themes/raisetech2019/common/js/jquery.inview.min48f5.js	(from https://raise-tech.net/)
22:20:41	6686/6686	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fd058b9-1a1e%22	https://raise-tech.net/wp-content/cache/autoptimize/js/autoptimize_single_41fe27408c0af5d1a8ccca572a18ecea.js?ver=5.3.6	D:/RaiseTech/Practice/RaiseTech_copy/%e6%ad%a3%e8%a7%a3/RaiseTech%e3%82%b3%e3%83%94%e3%83%bc/raise-tech.net/wp-content/cache/autoptimize/js/autoptimize_single_41fe27408c0af5d1a8ccca572a18ecea48f5.js	(from https://raise-tech.net/)
22:20:42	2389/2389	---MC-	200	added ('OK')	application/json	date:Wed,%2023%20Dec%202020%2013:20:43%20GMT	https://raise-tech.net/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fraise-tech.net%2F	D:/RaiseTech/Practice/RaiseTech_copy/%e6%ad%a3%e8%a7%a3/RaiseTech%e3%82%b3%e3%83%94%e3%83%bc/raise-tech.net/wp-json/oembed/1.0/embedc2d5.json	(from https://raise-tech.net/)
22:20:45	2564/2564	---MC-	200	added ('OK')	text/xml	date:Wed,%2023%20Dec%202020%2013:20:44%20GMT	https://raise-tech.net/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fraise-tech.net%2F&format=xml	D:/RaiseTech/Practice/RaiseTech_copy/%e6%ad%a3%e8%a7%a3/RaiseTech%e3%82%b3%e3%83%94%e3%83%bc/raise-tech.net/wp-json/oembed/1.0/embed468f	(from https://raise-tech.net/)
22:20:45	35029/35029	---MCZ	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%225fe33f93-2dfed%22	https://raise-tech.net/wp-content/cache/autoptimize/css/autoptimize_7242fcccc5c75cd34160219aa70a5b23.css	D:/RaiseTech/Practice/RaiseTech_copy/%e6%ad%a3%e8%a7%a3/RaiseTech%e3%82%b3%e3%83%94%e3%83%bc/raise-tech.net/wp-content/cache/autoptimize/css/autoptimize_7242fcccc5c75cd34160219aa70a5b23.css	(from https://raise-tech.net/)
22:20:46	0/-1	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f170d2b-2e1f%22	https://raise-tech.net/wp-content/plugins/webp-express/js/picturefill.min.js	D:/RaiseTech/Practice/RaiseTech_copy/%e6%ad%a3%e8%a7%a3/RaiseTech%e3%82%b3%e3%83%94%e3%83%bc/raise-tech.net/wp-content/plugins/webp-express/js/picturefill.min.js	(from https://raise-tech.net/)
22:20:47	0/-1	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dc3cfba-7add%22	http://uh.nakanohito.jp/uhj2/uh.js	D:/RaiseTech/Practice/RaiseTech_copy/%e6%ad%a3%e8%a7%a3/RaiseTech%e3%82%b3%e3%83%94%e3%83%bc/uh.nakanohito.jp/uhj2/uh.js	(from https://raise-tech.net/)
22:20:47	23470/23470	---M-Z	-1	error ('Error%20when%20decompressing')	application/x-javascript	date:Wed,%2023%20Dec%202020%2013:20:47%20GMT	https://connect.facebook.net/en_US/fbevents.js	D:/RaiseTech/Practice/RaiseTech_copy/%e6%ad%a3%e8%a7%a3/RaiseTech%e3%82%b3%e3%83%94%e3%83%bc/connect.facebook.net/en_US/fbevents.js	(from https://raise-tech.net/)
22:20:47	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js?ver=3.5.1	D:/RaiseTech/Practice/RaiseTech_copy/%e6%ad%a3%e8%a7%a3/RaiseTech%e3%82%b3%e3%83%94%e3%83%bc/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min9d52.js	(from https://raise-tech.net/)
22:20:48	187399/187399	---MC-	200	added ('OK')	application/json	date:Wed,%2023%20Dec%202020%2013:20:43%20GMT	https://raise-tech.net/wp-json/	D:/RaiseTech/Practice/RaiseTech_copy/%e6%ad%a3%e8%a7%a3/RaiseTech%e3%82%b3%e3%83%94%e3%83%bc/raise-tech.net/wp-json/index.html	(from https://raise-tech.net/)
